O15273,TELT_HUMAN,225,1
O15273,TELT_HUMAN,947,1
O15287,FANCG_HUMAN,225,1
O15287,FANCG_HUMAN,923,1
O15294,OGT1_HUMAN,225,1
O15294,OGT1_HUMAN,991,1
O15297,PPM1D_HUMAN,225,1
O15297,PPM1D_HUMAN,991,1
O15297,PPM1D_HUMAN,1268,1
O15303,GRM6_HUMAN,225,1
O15303,GRM6_HUMAN,1014,1
O15305,PMM2_HUMAN,225,1
O15305,PMM2_HUMAN,900,1
O15344,TRI18_HUMAN,225,1
O15347,HMGB3_HUMAN,1013,1
O15350,P73_HUMAN,43,1
O15353,FOXN1_HUMAN,225,1
O15357,SHIP2_HUMAN,219,1
O15357,SHIP2_HUMAN,225,1
O15360,FANCA_HUMAN,225,1
O15360,FANCA_HUMAN,923,1
O15382,BCAT2_HUMAN,225,1
O15399,NMDE4_HUMAN,225,1
O15399,NMDE4_HUMAN,887,1
O15409,FOXP2_HUMAN,225,1
O15455,TLR3_HUMAN,225,1
O15460,P4HA2_HUMAN,225,1
O15484,CAN5_HUMAN,225,1
O15520,FGF10_HUMAN,225,1
O15520,FGF10_HUMAN,953,1
O15528,CP27B_HUMAN,225,1
O15537,XLRS1_HUMAN,225,1
O15550,KDM6A_HUMAN,991,1
O15551,CLD3_HUMAN,856,1
O15553,MEFV_HUMAN,225,1
O15553,MEFV_HUMAN,1008,1
O15554,KCNN4_HUMAN,225,1
O15554,KCNN4_HUMAN,360,1
O43151,TET3_HUMAN,225,1
O43151,TET3_HUMAN,991,1
O43167,ZBT24_HUMAN,225,1
O43172,PRP4_HUMAN,225,1
O43172,PRP4_HUMAN,682,1
O43175,SERA_HUMAN,225,1
O43181,NDUS4_HUMAN,225,1
O43181,NDUS4_HUMAN,1274,1
O43186,CRX_HUMAN,182,1
O43186,CRX_HUMAN,225,1
O43186,CRX_HUMAN,682,1
O43186,CRX_HUMAN,901,1
O43196,MSH5_HUMAN,225,1
O43196,MSH5_HUMAN,1066,1
O43240,KLK10_HUMAN,43,1
